Altium Designer Pick and Place Locations
C:\Users\asterix\Documents\github\IsoKey\Assembly\isokey-v5.1_right\pick-and-place-isokey-v5.1_right_R0.txt

========================================================================================================================
File Design Information:

Date:       03/08/25
Time:       00:25
Revision:   75a75135963fba397611abbab5124de6ee3dab9e
Variant:    No variations
Units used: mm

Designator Comment               Layer       Footprint                  Center-X(mm) Center-Y(mm) Rotation      Description                                     
JP1        "LED ENABLE"          BottomLayer 0603_[1608]_JUMPER         18.6493      35.9797      9.5           "Jumper SMD"                                    
U1         RP2040-Zero           TopLayer    RP2040-Zero                46.7500      31.9307      279.5         "module, mini based on RP4020 (RP2350-Zero)"    
R7         NP                    BottomLayer 0402_[1005]                42.9973      36.4219      90            Resistor                                        
R6         NP                    BottomLayer 0402_[1005]                40.5000      36.4219      90            Resistor                                        
R5         22R                   BottomLayer 0402_[1005]                45.5025      36.4915      270           Resistor                                        
R4         1k8                   TopLayer    0402_[1005]                22.2500      35.2500      279.5         Resistor                                        
R3         1k8                   TopLayer    0402_[1005]                24.7500      35.7500      279.5         Resistor                                        
R2         22R                   BottomLayer 0402_[1005]                48.0000      37.5000      270           Resistor                                        
J2         "OLED Display 124x32" TopLayer    HEADER_1X4_2.54MM_THD      124.7500     21.7500      270           "Header, 4-Pin"                                 
J1         TRRS                  TopLayer    CON_PHONE_TRRS_3.5MM_THD   52.9823      32.0738      279.5         "headphone socket TRRS (Hong Cheng HC-PJ-320A)" 
D4         LED1                  TopLayer    0402_[1005]_K1-A2_LED      23.5000      35.5000      279.5         "Diode Led"                                     
D3         LED0                  TopLayer    0402_[1005]_K1-A2_LED      26.0000      36.0000      279.5         "Diode Led"                                     
C4         100nF                 BottomLayer 0402_[1005]                128.2500     20.7500      180           Capacitor                                       
C3         10uF                  BottomLayer 0603_[1608]                128.4999     19.5000      180           Capacitor                                       
C2         10uF                  BottomLayer 0603_[1608]                53.0000      38.2499      270           Capacitor                                       
C1         100nF                 BottomLayer 0402_[1005]                51.5000      38.0000      270           Capacitor                                       
K84_K62_R1 1k8                   BottomLayer 0402_[1005]                2.1929       21.5577      335.942977905 Resistor                                        
K84_D1     B5819W                BottomLayer SOD-123_K1-A2              115.7500     -9.7500      90            "Diode Schottky  low Vf, If 1A ( LCSC C8598)"   
K84_K62_D2 K                     TopLayer    0402_[1005]_K1-A2_LED      2.1929       21.5577      335.942977905 "Diode Led"                                     
K84_S1     MecSwitch             TopLayer    TACTILE_SWITCH_GATERON_PCB 157.1650     -78.4600     0             "Tactile Switch Right Angle 6x6"                
K82_D1     B5819W                BottomLayer SOD-123_K1-A2              118.0000     -9.7500      90            "Diode Schottky  low Vf, If 1A ( LCSC C8598)"   
K82_S1     MecSwitch             TopLayer    TACTILE_SWITCH_GATERON_PCB 171.4464     -45.0100     0             "Tactile Switch Right Angle 6x6"                
K82_K62_D2 K                     TopLayer    0402_[1005]_K1-A2_LED      5.4805       21.9875      20.0000152588 "Diode Led"                                     
K82_K62_R1 1k8                   BottomLayer 0402_[1005]                5.4805       21.9875      20.0000152588 Resistor                                        
K81_D1     B5819W                BottomLayer SOD-123_K1-A2              122.5000     -9.7500      90            "Diode Schottky  low Vf, If 1A ( LCSC C8598)"   
K81_K62_R1 1k8                   BottomLayer 0402_[1005]                -2.0958      21.9784      304.817001343 Resistor                                        
K81_K62_D2 K                     TopLayer    0402_[1005]_K1-A2_LED      -2.0957      21.9784      304.817001343 "Diode Led"                                     
K81_S1     MecSwitch             TopLayer    TACTILE_SWITCH_GATERON_PCB 171.4464     -25.9600     0             "Tactile Switch Right Angle 6x6"                
K74_S1     MecSwitch             TopLayer    TACTILE_SWITCH_GATERON_PCB 138.1150     -78.4600     0             "Tactile Switch Right Angle 6x6"                
K74_K62_D2 K                     TopLayer    0402_[1005]_K1-A2_LED      0.8006       25.7800      280.000015259 "Diode Led"                                     
K74_D1     B5819W                BottomLayer SOD-123_K1-A2              113.5000     -9.7500      90            "Diode Schottky  low Vf, If 1A ( LCSC C8598)"   
K74_K62_R1 1k8                   BottomLayer 0402_[1005]                0.8006       25.7800      280.000015259 Resistor                                        
K73_D1     B5819W                BottomLayer SOD-123_K1-A2              111.2500     -9.7500      90            "Diode Schottky  low Vf, If 1A ( LCSC C8598)"   
K73_S1     MecSwitch             TopLayer    TACTILE_SWITCH_GATERON_PCB 138.1094     -59.4100     0             "Tactile Switch Right Angle 6x6"                
K73_K62_R1 1k8                   BottomLayer 0402_[1005]                5.6576       32.5454      165.93687439  Resistor                                        
K73_K62_D2 K                     TopLayer    0402_[1005]_K1-A2_LED      5.6576       32.5454      165.93687439  "Diode Led"                                     
K72_K62_R1 1k8                   BottomLayer 0402_[1005]                6.3797       29.5120      144.4255867   Resistor                                        
K72_K62_D2 K                     TopLayer    0402_[1005]_K1-A2_LED      6.3797       29.5120      144.4255867   "Diode Led"                                     
K72_S1     MecSwitch             TopLayer    TACTILE_SWITCH_GATERON_PCB 140.5000     -25.9600     0             "Tactile Switch Right Angle 6x6"                
K72_D1     B5819W                BottomLayer SOD-123_K1-A2              120.2500     -9.7500      90            "Diode Schottky  low Vf, If 1A ( LCSC C8598)"   
K70_D1     B5819W                BottomLayer SOD-123_K1-A2              124.7500     -9.7500      90            "Diode Schottky  low Vf, If 1A ( LCSC C8598)"   
K70_K62_D2 K                     TopLayer    0402_[1005]_K1-A2_LED      8.9808       29.2193      120.000015259 "Diode Led"                                     
K70_S1     MecSwitch             TopLayer    TACTILE_SWITCH_GATERON_PCB 142.8810     2.5400       0             "Tactile Switch Right Angle 6x6"                
